,Strategy,Lookback Window,Holding period,Average,Maximum,Minimum
0,strategy 1,12 Month,1 Month,169614.797206564,451376.3277865813,-90489.2306761096
1,strategy 2,12 Month,2 Month,164688.93858168076,452507.1266661075,-124955.15582678176
2,strategy 3,12 Month,3 Month,221731.47319922614,479010.09163744585,-69599.12519042281
3,strategy 4,12 Month,4 Month,230982.46023388294,484745.10496290633,-61394.52945368132
4,strategy 5,12 Month,6 Month,224348.33625586246,462510.34183956974,-81590.14630026708
5,strategy 6,1 Month,1 Month,433956.3309267532,742891.9238304035,136660.75875633917
6,strategy 7,3 Month,3 Month,257516.36796691347,503601.6423788872,4262.901535926096
7,strategy 8,11 Month,3 Month,193434.7435925559,552161.9428252927,-155119.2810704818
