,Strategy,Lookback Window,Holding period,Average,Maximum,Minimum
0,strategy 1,12 Month,1 Month,1870.6078296335588,209965.7943438665,-187387.15582002362
1,strategy 2,12 Month,2 Month,-27702.07839947005,143514.400242301,-220002.6392542773
2,strategy 3,12 Month,3 Month,31760.86756670051,183670.65447207156,-94731.8159903375
3,strategy 4,12 Month,4 Month,34126.28850938824,188929.92993540564,-120066.46106324616
4,strategy 5,12 Month,6 Month,-9380.816568677075,283906.91487664945,-217475.5031226897
5,strategy 6,1 Month,1 Month,-307473.2691754262,-8085.544578667796,-590998.929748478
6,strategy 7,3 Month,3 Month,-73792.31355416785,180254.00262347894,-343890.94619910384
7,strategy 8,11 Month,3 Month,-19832.890231230776,154289.69255066305,-189969.643219451
