,Strategy,Lookback Window,Holding period,Average,Maximum,Minimum
0,strategy 1,12 Month,1 Month,283744.9046263851,607398.6099373829,79017.02085323747
1,strategy 2,12 Month,2 Month,219106.39280334377,497705.3292656528,-6695.324865133967
2,strategy 3,12 Month,3 Month,262570.986325281,433410.4977690028,125807.20050760018
3,strategy 4,12 Month,4 Month,206171.38758553372,344260.35125333455,31431.614055926882
4,strategy 5,12 Month,6 Month,284663.9031432731,505356.2400755898,67326.80056477248
5,strategy 6,1 Month,1 Month,8980.83095434747,142021.6400692403,-166597.07984348718
6,strategy 7,3 Month,3 Month,101117.13951618798,300303.00334439403,-75250.6020790208
7,strategy 8,11 Month,3 Month,305955.62148938276,459588.87322808214,175991.44381876834
