,Strategy,Lookback Window,Holding period,Average,Maximum,Minimum
0,strategy 1,12 Month,1 Month,18820.02476347477,291180.22724575293,-247092.36537761643
1,strategy 2,12 Month,2 Month,-76588.99720897008,194811.64725518247,-266647.00310534745
2,strategy 3,12 Month,3 Month,-150469.28000415055,78997.97014952378,-319855.11824042216
3,strategy 4,12 Month,4 Month,-82107.51678347815,125515.72431971153,-356676.9661872532
4,strategy 5,12 Month,6 Month,-184468.11824010318,43640.11903014462,-429441.08823739015
5,strategy 6,1 Month,1 Month,58387.558438026615,235384.87964767322,-128950.92312501004
6,strategy 7,3 Month,3 Month,-10531.728560005296,324024.5928759639,-258703.3701416772
7,strategy 8,11 Month,3 Month,-122474.00727014917,156983.79525645776,-298917.04630534654
