,Strategy,Lookback Window,Holding period,Average,Maximum,Minimum
0,strategy 1,12 Month,1 Month,-908600.0951624323,-705734.120108821,-947232.1165823027
1,strategy 2,12 Month,2 Month,-783449.6458498233,-689637.3631792542,-824468.0066958626
2,strategy 3,12 Month,3 Month,-730241.1342088286,-679915.9997264008,-758180.4747663257
3,strategy 4,12 Month,4 Month,-776406.5462802952,-580330.9327725641,-835970.1804595295
4,strategy 5,12 Month,6 Month,-609075.4691770223,-518231.58350502566,-751276.6485450489
5,strategy 6,1 Month,1 Month,1212196.4961827085,2458272.4704300947,-456860.19682374585
6,strategy 7,3 Month,3 Month,-410205.9716952946,104556.3294768852,-757202.352023436
7,strategy 8,11 Month,3 Month,2484822.01029828,96022368.79054314,-788465.7406136924
