,Strategy,Lookback Window,Holding period,Average,Maximum,Minimum
0,strategy 1,12 Month,1 Month,251258.2627237236,539092.5275613863,1000.8775257598136
1,strategy 2,12 Month,2 Month,277345.6917011476,505528.58178979525,-46516.799653782306
2,strategy 3,12 Month,3 Month,354944.29555827536,608258.2550064711,-23101.19877599347
3,strategy 4,12 Month,4 Month,379129.22516592493,816206.2120676852,34248.816143833246
4,strategy 5,12 Month,6 Month,297394.9480294963,714748.3342306805,-130551.67202861786
5,strategy 6,1 Month,1 Month,-139627.7866661886,8957.233846189061,-258363.6989174923
6,strategy 7,3 Month,3 Month,435704.3795567215,913346.2597943774,98277.96819263167
7,strategy 8,11 Month,3 Month,581473.0976075467,816085.8466855189,248649.14540375903
