,Strategy,Lookback Window,Holding period,Average,Maximum,Minimum
0,strategy 1,12 Month,1 Month,28769.15927207232,269697.7929081188,-233505.31738916022
1,strategy 2,12 Month,2 Month,-32689.063902864604,133953.77669186407,-287816.8383821472
2,strategy 3,12 Month,3 Month,38392.11056817258,303141.90627891466,-201855.4996533931
3,strategy 4,12 Month,4 Month,57022.08452100994,403888.5918450729,-187699.97119564936
4,strategy 5,12 Month,6 Month,-40120.879290172365,136511.42272315733,-261026.38176840474
5,strategy 6,1 Month,1 Month,-307029.36083018634,-14322.030338321572,-477478.9377278532
6,strategy 7,3 Month,3 Month,35403.728737337566,300780.03350951173,-144952.29402756554
7,strategy 8,11 Month,3 Month,19984.56135736391,339251.873198206,-208258.05061247645
