,Strategy,Lookback Window,Holding period,Average,Maximum,Minimum
0,strategy 1,12 Month,1 Month,199359.77774725563,356184.74201423465,35993.46791387607
1,strategy 2,12 Month,2 Month,174845.88555185866,361860.2704204885,5071.721529574221
2,strategy 3,12 Month,3 Month,205402.21783639127,381219.7357404051,54755.14373081556
3,strategy 4,12 Month,4 Month,208801.7677076162,419064.93422271224,14007.065478678036
4,strategy 5,12 Month,6 Month,211597.69065591643,344867.42102950125,63040.76413163572
5,strategy 6,1 Month,1 Month,29615.720625052578,197801.16426140582,-69904.2925737833
6,strategy 7,3 Month,3 Month,195759.85620997325,402601.18013359536,26510.760307479555
7,strategy 8,11 Month,3 Month,199033.21475478675,355768.6062796636,25415.767639368678
