,Strategy,Lookback Window,Holding period,Average,Maximum,Minimum
0,strategy 1,12 Month,1 Month,48102219.86150385,183496834.24720404,-258135.2999722749
1,strategy 2,12 Month,2 Month,3928393120.255217,31387044435.508835,-273160.5323783707
2,strategy 3,12 Month,3 Month,41163048.92660619,200629845.04976314,-282128.88496465166
3,strategy 4,12 Month,4 Month,6120468642.613997,42053124694.67468,-388740.24125895137
4,strategy 5,12 Month,6 Month,29942818.887615185,169638675.106,-330847.4170023935
5,strategy 6,1 Month,1 Month,6084152.649555696,128900694.50193237,-342719.99923410016
6,strategy 7,3 Month,3 Month,-59455.45538395483,130808.0394856548,-273138.6056566695
7,strategy 8,11 Month,3 Month,42188279.945115395,262286007.46883497,-301790.5921194757
