,Strategy,Lookback Window,Holding period,Average,Maximum,Minimum
0,strategy 1,12 Month,1 Month,132237.8257122498,395295.4598769675,324.8591403625542
1,strategy 2,12 Month,2 Month,100442.96637779872,423428.5938475651,-115541.61801096734
2,strategy 3,12 Month,3 Month,143504.51441412044,359598.9930355139,-84161.62150775426
3,strategy 4,12 Month,4 Month,136290.21714776853,395659.6284207662,-43760.22887799628
4,strategy 5,12 Month,6 Month,175840.00133013987,453203.3259706007,17347.840989232445
5,strategy 6,1 Month,1 Month,79469.69870503597,385067.0586762374,-298569.11662177584
6,strategy 7,3 Month,3 Month,169374.21559082912,376695.5900938993,-12196.821964661387
7,strategy 8,11 Month,3 Month,220737.654035365,451483.900122005,37483.19992125209
