,Strategy,Lookback Window,Holding period,Average,Maximum,Minimum
0,strategy 1,12 Month,1 Month,170021.4399774423,378957.60566534277,-146932.42262284603
1,strategy 2,12 Month,2 Month,224596.83613061983,587009.9822832757,-116108.10807424612
2,strategy 3,12 Month,3 Month,249005.0463222355,512917.85100173263,-78354.6952182847
3,strategy 4,12 Month,4 Month,250352.18201079863,541373.5826019505,-91898.11016195522
4,strategy 5,12 Month,6 Month,224274.4669033453,509702.975783969,-158117.96419602347
5,strategy 6,1 Month,1 Month,-18426.605284474696,192533.47472082614,-263625.24119412375
6,strategy 7,3 Month,3 Month,344061.5772013079,507513.33507646463,94584.02614806648
7,strategy 8,11 Month,3 Month,182189.5261148339,500940.9487356819,-138155.40265259548
