,Strategy,Lookback Window,Holding period,Average,Maximum,Minimum
0,strategy 1,12 Month,1 Month,57288176.239552595,81981105.47013211,-405593.84762379644
1,strategy 2,12 Month,2 Month,10242159029.759932,15023108549.16732,-470133.2271452313
2,strategy 3,12 Month,3 Month,97933772.75706112,139822608.458771,-373029.2321501296
3,strategy 4,12 Month,4 Month,7395051109.250075,10589070813.279148,-499802.0078665109
4,strategy 5,12 Month,6 Month,69933388.52216095,92336850.64317204,-450253.15295132075
5,strategy 6,1 Month,1 Month,-102835.72028117049,91834.08811031497,-251567.76683692887
6,strategy 7,3 Month,3 Month,-144567.01464582336,-1541.9712780058835,-251734.6096981382
7,strategy 8,11 Month,3 Month,101128189.01951924,139403860.67302334,-468279.80937587627
