,Strategy,Lookback Window,Holding period,Average,Maximum,Minimum
0,strategy 1,12 Month,1 Month,202187.5747059273,540621.6030184157,-6690.028050397406
1,strategy 2,12 Month,2 Month,136863.6077865738,634361.7199023209,-86056.16611625385
2,strategy 3,12 Month,3 Month,154454.66472657383,459392.37829628726,-86280.54519286228
3,strategy 4,12 Month,4 Month,125069.68125135102,375425.9542649024,-56980.71988557278
4,strategy 5,12 Month,6 Month,204306.562308148,673075.7579605547,7338.35483288917
5,strategy 6,1 Month,1 Month,154025.9680576768,461208.6876592232,-137429.09410191677
6,strategy 7,3 Month,3 Month,-11673.739901886507,329263.46126389655,-460179.45910296286
7,strategy 8,11 Month,3 Month,211821.92174375898,738613.7611492019,-55352.993480526966
