,Strategy,Lookback Window,Holding period,Average,Maximum,Minimum
0,strategy 1,12 Month,1 Month,-385250.6701855169,-245316.02762036643,-483535.39411127317
1,strategy 2,12 Month,2 Month,-380872.52028420963,-249260.6171412521,-450385.1455807999
2,strategy 3,12 Month,3 Month,-380271.47185672197,-218656.83623913358,-429184.7038532088
3,strategy 4,12 Month,4 Month,-453015.3180363282,-395804.76965075283,-515523.84069007426
4,strategy 5,12 Month,6 Month,-442270.6590541329,-305656.78484926483,-481716.86526770686
5,strategy 6,1 Month,1 Month,-106702.86412681945,166259.5832749063,-241157.42774922185
6,strategy 7,3 Month,3 Month,-254170.1470900587,-159884.79343398902,-333121.3377784047
7,strategy 8,11 Month,3 Month,103244063.05374871,128426936.78919484,-387380.8141667381
