,Strategy,Lookback Window,Holding period,Average,Maximum,Minimum
0,strategy 1,12 Month,1 Month,414786.81651402276,724644.4551201902,84267.1544853277
1,strategy 2,12 Month,2 Month,201002.10627722947,405355.46830150293,-73951.42447724912
2,strategy 3,12 Month,3 Month,77927.17303919425,285873.468470606,-138358.93325166046
3,strategy 4,12 Month,4 Month,158499.88248495097,284318.7966701444,-68890.45925366844
4,strategy 5,12 Month,6 Month,103283.29348663484,236043.98050865397,-91239.29590699052
5,strategy 6,1 Month,1 Month,-123663.115714638,37057.65020329974,-251825.99440743972
6,strategy 7,3 Month,3 Month,273799.7801197687,661167.177871818,-100717.79244818189
7,strategy 8,11 Month,3 Month,112664.51467617946,372608.21268918493,-46213.40010750624
