,Strategy,Lookback Window,Holding period,Average,Maximum,Minimum
0,strategy 1,12 Month,1 Month,82750112.41937311,139007030.1096061,-307667.84504397295
1,strategy 2,12 Month,2 Month,99923578.48828885,160467335.702694,-44917.119113777764
2,strategy 3,12 Month,3 Month,-114663.98340576894,91140.7427109737,-208335.33340513322
3,strategy 4,12 Month,4 Month,170672181.7167535,222279725.27551648,-21215.449728396386
4,strategy 5,12 Month,6 Month,84229.2517000096,226869.79681835254,-2138.946906033161
5,strategy 6,1 Month,1 Month,348935.9949729968,580365.7970969485,94321.68953258137
6,strategy 7,3 Month,3 Month,1492985.3676924445,2408218.26126373,492383.23826405813
7,strategy 8,11 Month,3 Month,1075041.9408897741,1469527.5244466697,-30249.35145841274
