,Strategy,Lookback Window,Holding period,Average,Maximum,Minimum
0,strategy 1,12 Month,1 Month,-437.81517359304127,160545.30119633462,-180844.37781732978
1,strategy 2,12 Month,2 Month,89993.9165449773,337002.674262638,-116298.3943098195
2,strategy 3,12 Month,3 Month,-32430.50638496222,167179.81868103158,-235252.6961774842
3,strategy 4,12 Month,4 Month,46468.07976520887,305745.6150295936,-167976.88600119468
4,strategy 5,12 Month,6 Month,-17275.916624090092,240398.70071751508,-249706.4607721503
5,strategy 6,1 Month,1 Month,-252442.85624103717,-100394.65660052569,-377907.18352089706
6,strategy 7,3 Month,3 Month,-213888.73504137743,-85904.23065144292,-359816.26957142976
7,strategy 8,11 Month,3 Month,-1508.7379878206418,225587.51174073515,-231113.88326790783
