,Strategy,Lookback Window,Holding period,Average,Maximum,Minimum
0,strategy 1,12 Month,1 Month,339506.76670265856,468597.9902998905,238091.68368406317
1,strategy 2,12 Month,2 Month,297138.7980994746,399819.05383698695,183763.22760751707
2,strategy 3,12 Month,3 Month,346872.66698964377,517795.48921556014,204844.46573302778
3,strategy 4,12 Month,4 Month,311501.49373036914,435409.6299490807,205502.030706091
4,strategy 5,12 Month,6 Month,335762.01232681854,538000.3114072497,139556.32102099
5,strategy 6,1 Month,1 Month,89493.77399731934,291960.95862885425,-102657.02715838856
6,strategy 7,3 Month,3 Month,240927.083368512,471025.56124236766,29742.862786442827
7,strategy 8,11 Month,3 Month,238826.71127660142,415154.4497777861,71962.39274897508
